Grid,CSG518-1,CSG518-2,CSG518-3,CSG518-4,CSG518-5,CSG518-6,CSG518-7,CSG518-8
A7,-73 dBm,-73 dBm,-58 dBm,-92 dBm,-79 dBm,-81 dBm,-67 dBm,-86 dBm
A7,-75 dBm,-71 dBm,-60 dBm,-94 dBm,-78 dBm,-80 dBm,-67 dBm,-86 dBm
A7,-72 dBm,-71 dBm,-61 dBm,-86 dBm,-76 dBm,-80 dBm,-68 dBm,-86 dBm
A7,-73 dBm,-75 dBm,-61 dBm,0,-73 dBm,-80 dBm,-66 dBm,-85 dBm
A9,-71 dBm,-72 dBm,-84 dBm,-94 dBm,-78 dBm,-88 dBm,-77 dBm,-93 dBm
A9,-74 dBm,-86 dBm,-78 dBm,-94 dBm,-75 dBm,-90 dBm,-77 dBm,-91 dBm
A9,-73 dBm,-73 dBm,-78 dBm,-94 dBm,-77 dBm,-87 dBm,-82 dBm,-91 dBm
A9,-70 dBm,-76 dBm,-77 dBm,-94 dBm,-80 dBm,-89 dBm,-79 dBm,-94 dBm
A9,-75 dBm,-71 dBm,-77 dBm,-94 dBm,-81 dBm,-90 dBm,-86 dBm,-92 dBm
A9,-78 dBm,-69 dBm,-80 dBm,-93 dBm,-79 dBm,-89 dBm,-86 dBm,-90 dBm
A9,-74 dBm,-78 dBm,-76 dBm,-94 dBm,-79 dBm,-93 dBm,-81 dBm,-96 dBm
A9,-83 dBm,-74 dBm,-78 dBm,-93 dBm,-77 dBm,-92 dBm,-75 dBm,-92 dBm
A9,-70 dBm,-76 dBm,-76 dBm,-94 dBm,-76 dBm,-91 dBm,-79 dBm,-92 dBm
A9,-69 dBm,-73 dBm,-86 dBm,-93 dBm,-79 dBm,-93 dBm,-80 dBm,-92 dBm
A9,-74 dBm,-75 dBm,-80 dBm,-94 dBm,-75 dBm,-90 dBm,-85 dBm,-94 dBm
A9,-73 dBm,-76 dBm,-73 dBm,-94 dBm,-78 dBm,-87 dBm,-82 dBm,-93 dBm
